이미지URL,상품명,가격,행사유형,행사분류,증정상품이미지URL
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045030098.JPG,오뚜기)청주식돼지김치짜글이450G,8500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045290102.JPG,오뚜기)옛날사골곰탕500g,3000,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045290829.JPG,오뚜기)종로식도가니탕500G,10900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045415888.JPG,오뚜기)프레스코양송이크림스프180g,3800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045533346.JPG,오뚜기)양평식선지해장국500g,8500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045600444.JPG,오뚜기)대구식쇠고기육개장500G,8500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045634630.JPG,오뚜기)마포식차돌된장찌개500G,8500,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045725529.JPG,오뚜기)컵밥오뚜기카레320g,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045759296.JPG,오뚜기)프레스코베이컨감자스프180g,3800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045835211.JPG,오뚜기)컵밥치킨마요덮밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045875538.JPG,오뚜기)컵밥참기름김치볶음밥259g,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045892344.JPG,오뚜기)컵밥김치알밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045892351.JPG,오뚜기)컵밥차돌강된장보리밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045892641.JPG,오뚜기)컵밥참치마요덮밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8802259020615.JPG,롯데)이너프쉐이크밀홀그레인50g,2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8802259020622.JPG,롯데)이너프쉐이크밀고구마50g,2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8802259021537.JPG,롯데)이너프쉐이크밀단백질50g,3200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809962584243.JPG,상상_3600비빔밥,3600,덤증정,,https://emart24.co.kr/image/MjI1MTMz
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809962584663.JPG,상상_2900덮밥(햄콘마요),2900,덤증정,,https://emart24.co.kr/image/MjI1MTM0
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8809962585080.JPG,리챔데리참치김밥,3500,덤증정,,https://emart24.co.kr/image/MjI1MTMy
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045089928.JPG,오뚜기)컵밥마라탕밥302g,4800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045303000.JPG,오뚜기)전복죽285g,4500,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045512518.JPG,오뚜기)컵누들마라탕소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045520117.JPG,오뚜기)진라면순한맛봉지,1000,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045520124.JPG,오뚜기)진라면매운맛봉지,1000,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045522234.JPG,오뚜기)진라면순한맛봉지*5입,5000,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045522265.JPG,오뚜기)진라면매운맛봉지*5입,5000,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045526294.JPG,오뚜기)진비빔면봉지,1250,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045526317.JPG,오뚜기)진비빔면봉지*4입,5000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045551890.JPG,오뚜기)열라면소컵,1100,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045570068.JPG,오뚜기)진라면순한맛소컵,1100,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045570082.JPG,오뚜기)진라면매운맛소컵,1100,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045571867.JPG,오뚜기)컵누들우동맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045572666.JPG,오뚜기)스낵면소컵,1100,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045574097.JPG,오뚜기)컵누들베트남쌀국수맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045574578.JPG,오뚜기)진짬뽕소컵,1700,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045702643.JPG,오뚜기)육개장소컵,1100,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890289.JPG,오뚜기)컵밥진한쇠고기미역국밥,4800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890418.JPG,오뚜기)맛있는밥210g,2000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890432.JPG,오뚜기)맛있는큰밥300g,2800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890463.JPG,오뚜기)맛있는발아흑미밥210g,2700,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890500.JPG,오뚜기)맛있는오곡밥210g,2700,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890692.JPG,오뚜기)맛있는작은밥150g,1700,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045892207.JPG,오뚜기)컵밥김치참치덮밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045897585.JPG,오뚜기)컵밥얼큰순후추돼지국밥,4800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007029641.JPG,CJ)스팸라이트340g,8900,2+1,,
