이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8809695252594_002.jpg,Y)면왕(소컵)105G,990,1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392116339_002.jpg,CJ)비비고버터오징어김스낵40G,"4,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8804246034339_002.jpg,불릴필요없는칼집찰현미500G,"4,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8804246034322_002.jpg,불릴필요없는칼집현미500G,"4,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_2800100126642_002.jpg,거산)한입꿀밤고구마(1KG/봉),"9,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_2345001714890_002.jpg,거산)한입호박고구마(1KG/봉),"9,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_23550452_002.jpg,호주청정우)국거리만능팩(300G),"11,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_23550445_002.jpg,호주청정우)다짐육만능팩(300G),"11,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809186873710_001.jpg,녹차녹차돌자반55G,"3,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809186873703_001.jpg,파래파래돌자반55G,"3,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809193858434_002.jpg,먹태랑오징어30G,"7,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809193858250_004.jpg,먹태를찍먹30G,"7,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809963481312_003.jpg,선우)스모어마시멜로우쿠키110G,"5,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801019612572_002.jpg,유어스)타코야끼볼(오리지널),"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801019612206_003.jpg,유어스)타코야끼볼(청양마요),"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801043030465_001.jpg,농심)츄파춥스사우어코코레몬240,"1,600",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422045932_001.jpg,HK)루비자두아이스티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809422045925_001.jpg,HK)애플청포도아이스티500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806016186194_001.jpg,동화약품)제주보메차500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801047288114_001.jpg,동원샘물500ML,"1,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801001238391_002.jpg,하이트)블랙보리누룽지520ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801001238179_002.jpg,하이트)블랙보리라이트520ML,"2,200",1+1,1+1 행사
